name,state,district,type,board,student_count,company_size_category,website,principal_name,email,phone
St. Ann'S College For Women,Telangana,Hyderabad,Private,,1200,Medium,stanns.edu.in,,office@stannesfgcmillerroad.edu.in,04027667849
Osmania University College Of Science,Telangana,Hyderabad,Govt,,5000,Large,osmania.ac.in,Kumar Molugaram,principal.ucs@osmania.ac.in,04027682363
Nizam College,Telangana,Hyderabad,Govt,,3200,Large,nizamcollege.ac.in,,placements@nizamcollege.ac.in,8331997325
Sr & Bgnr Govt. Degree College,Telangana,Karimnagar,Govt,,1800,Large,,,prl-gdc-arpt-ce@telangana.gov.in,08782230540
Kakatiya University College,Telangana,Warangal,Govt,,4500,Large,kakatiya.ac.in,,principal.education@kakatiya.ac.in,08702438866
Aurora'S Degree College,Telangana,Hyderabad,Private,,900,Medium,auroradegree.ac.in,,2021060@slhschool.ac.in,04027660755
St. Francis College For Women,Telangana,Hyderabad,Aided,,1400,Medium,stfranciscollege.ac.in,,info@sfc.ac.in,04023564955
Govt. Degree College For Women,Telangana,Nizamabad,Govt,,2100,Large,,,examination@gcwnk.ac.in,08462222571
Vasavi College Of Engineering,Telangana,Hyderabad,Aided,,3600,Large,vasavicollege.ac.in,,hodchemistry@staff.vce.ac.in,04023146001
Jntu Hyderabad,Telangana,Hyderabad,Govt,,8000,Large,jntuh.ac.in,,_sunitha@jntuh.ac.in,04023156113
Muffakham Jah College Of Engg,Telangana,Hyderabad,Aided,,2800,Large,mjcollege.ac.in,,alumni@mjcollege.ac.in,023280301
Govt. City College,Telangana,Hyderabad,Govt,,2400,Large,,,,04024604045
Hyderabad Public School,Telangana,Hyderabad,Private,,1800,Large,hps.edu.in,,admissions@hieschool.edu.in,04023234251
Narayana Junior College,Telangana,Hyderabad,Private,,3200,Large,narayanagroup.com,,,18001023344
Sri Chaitanya Junior College,Telangana,Hyderabad,Private,,4500,Large,srichaitanya.net,,,04066060606
