name,state,district,type,board,student_count,company_size_category,website,principal_name,email,phone,icp_score,icp_tier
St. Ann'S College For Women,Telangana,Hyderabad,Private,,1200,Medium,stannscollegehyd.com,Dr.Sr.A.Vijaya Rani,info@stannscollegehyd.com,040 - 23513020,100,Tier1
Osmania University College Of Science,Telangana,Hyderabad,Govt,,5000,Large,osmania.ac.in,Kumar Molugaram,vc@osmania.ac.in,040-27098048,75,Tier1
Nizam College,Telangana,Hyderabad,Govt,,3200,Large,nizamcollege.ac.in,Dr Arati Jadhav,principal@nizamcollege.ac.in,8331997325,75,Tier1
Sr & Bgnr Govt. Degree College,Telangana,Khammam,Govt,,1800,Large,srbgnrexams.ac.in,,srbgnriqac@gmail.com,8742228257,65,Tier2
Kakatiya University College,Telangana,Warangal,Govt,,4500,Large,kakatiya.ac.in,Prof.T.Manohar,vc@kakatiya.ac.in,8702438866,75,Tier1
Aurora'S Degree College,Telangana,Hyderabad,Private,,900,Medium,adc.edu.in,Dr. M.C.Ajay Kumar,info@adc.edu.in,4027662668,100,Tier1
St. Francis College For Women,Telangana,Hyderabad,Aided,,1400,Medium,sfc.ac.in,Prof. Uma Joseph,info@sfc.ac.in,4023403200,75,Tier1
Govt. Degree College For Women,Telangana,Nizamabad,Govt,,2100,Large,gpwnzb.dte.telangana.gov.in,Dr. S. Anuradha,gpw062nzb@gmail.com,9912342062,75,Tier1
Vasavi College Of Engineering,Telangana,Hyderabad,Aided,,3600,Large,vce.ac.in,Dr. S.V.Ramana,principal@staff.vce.ac.in,4023146001,75,Tier1
Jntu Hyderabad,Telangana,Hyderabad,Govt,,8000,Large,jntuh.ac.in,Dr. G Venkata Narasimha Reddy,gvnreddy@jntuh.ac.in,23057787,75,Tier1
Muffakham Jah College Of Engg,Telangana,Hyderabad,Aided,,2800,Large,mjcollege.ac.in,Dr S Srinivasa Rao,principal@mjcollege.ac.in,4023280301,75,Tier1
Govt. City College,Telangana,Hyderabad,Govt,,2400,Large,gdctg.cgg.gov.in/charminar.edu,,,4024604045,50,Tier2
Hyderabad Public School,Telangana,Hyderabad,Private,,1800,Large,hpsbegumpet.org.in,Dr. Skand Bali,contactus@hpsbegumpet.org.in,4027761546,100,Tier1
Narayana Junior College,Telangana,Hyderabad,Private,,3200,Large,narayanagroup.com,Phani Kumari Yellala,info@narayanagroup.com,18001023344,100,Tier1
Sri Chaitanya Junior College,Telangana,Hyderabad,Private,,4500,Large,srichaitanya.net,,,4066060606,75,Tier1
Osmania Medical College,Telangana,Hyderabad,Govt,,2800,Large,osmaniamedicalcollege.org,Dr. M. Raja Rao,omc_hyd-ts@nic.in,4027682363,75,Tier1
Deccan College Of Medical Sciences,Telangana,Hyderabad,Private,,1200,Medium,dcms.ac.in,Dr. Ashfaq Hasan,principal@dcms.ac.in,4024340225,100,Tier1
Hyderabad Institute Of Technology,Telangana,Hyderabad,Private,,2600,Large,hitam.org,Dr. J. Shivakumar,info@hitam.org,92487 11150,100,Tier1
Chaitanya Bharathi Institute,Telangana,Hyderabad,Aided,,3100,Large,cbit.ac.in,Prof. C. V. Narasimhulu,principal@cbit.ac.in,8466997201,75,Tier1
Gokaraju Rangaraju Inst Of Engg,Telangana,Hyderabad,Private,,3400,Large,griet.ac.in,,info@griet.ac.in,4023044901,90,Tier1
Kg Reddy College Of Engineering,Telangana,Hyderabad,Private,,2100,Large,kgr.ac.in,Dr. S. Sai Satyanarayana Reddy,info@kgr.ac.in,9000633008,100,Tier1
Mahatma Gandhi Institute Of Technology,Telangana,Hyderabad,Private,,2800,Large,mgit.ac.in,Prof. G. ChandraMohan Reddy,ao@mgit.ac.in,4023044914,100,Tier1
Sreenidhi Institute Of Science,Telangana,Hyderabad,Private,,3200,Large,sreenidhi.edu.in,Dr. T. Ch. Siva Reddy,info@sreenidhi.edu.in,4027165554,100,Tier1
Govt. Degree College Nizamabad,Telangana,Nizamabad,Govt,,1600,Large,gdctg.cgg.gov.in/nizamabad.edu,Mr. P.Ram Mohan Reddy,nizamabad.jkc@gmail.com,8462220423,75,Tier1
Govt. Degree College Karimnagar,Telangana,Karimnagar,Govt,,1400,Medium,gdctg.cgg.gov.in/karimnagarwomen.edu,Prof. I. V. Chalapathi Rao,karimnagar.jkc@gmail.com,8782221034,75,Tier1
Satavahana University College,Telangana,Karimnagar,Govt,,2200,Large,satavahana.ac.in,Dr. S. Ramakanth,registrarsatavahana@gmail.com,9912219097,75,Tier1
Kakatiya Medical College,Telangana,Warangal,Govt,,1800,Large,kmcwgl.com,Dr. Sandhya Sunkaraneni,pwarangal@gmail.com,8702439033,75,Tier1
Warangal Institute Of Technology,Telangana,Warangal,Private,,2100,Large,nitw.ac.in,Prof. N. V. Ramana Rao,,8702471200,85,Tier1
Govt. Degree College Mahbubnagar,Telangana,Mahbubnagar,Govt,,1200,Medium,gdctg.cgg.gov.in/ntrwomen.edu,,ttwrdcgirls.mahabubnagar@gmail.com,8542224122,65,Tier2
Palamuru University College,Telangana,Mahbubnagar,Govt,,1900,Large,palamuruuniversity.ac.in,Dr. P. Ramulu,registrar@palamuruuniversity.ac.in,8542277144,75,Tier1
Govt. Degree College Khammam,Telangana,Khammam,Govt,,1500,Medium,gdctg.cgg.gov.in/khammamwomen.edu,Shivakrishna Kampati,,8742222417,60,Tier2
Telangana University College,Telangana,Nizamabad,Govt,,2400,Large,telanganauniversity.ac.in,Praveen Mamidala,principaltusc@telanganauniversity.ac.in,8462221501,75,Tier1
Lords Institute Of Engineering,Telangana,Hyderabad,Private,,2200,Large,lords.ac.in,Dr. Ravi Kishore Singh,principal@lords.ac.in,6309012442,100,Tier1
Cvr College Of Engineering,Telangana,Hyderabad,Private,,2600,Large,cvr.ac.in,Dr. K. Ramamohan Reddy,kasarammohan@gmail.com,4041525300,100,Tier1
Tkr College Of Engineering,Telangana,Hyderabad,Private,,1900,Large,tkrcet.ac.in,Dr. A. Ramaswami Reddy,info@tkrcet.ac.in,9849477550,100,Tier1
Govt. Degree College Adilabad,Telangana,Adilabad,Govt,,1100,Medium,gdctg.cgg.gov.in/adilabadac.edu,,prl-gdc-adb-ce@telangana.gov.in,8732225455,65,Tier2
Osmania University Law College,Telangana,Hyderabad,Govt,,1400,Medium,osmania.ac.in/lawcollege/,Gummadi Anuradha,lawcollege@osmania.ac.in,4027682363,75,Tier1
St. Mary'S College For Women,Telangana,Hyderabad,Aided,,1200,Medium,stmaryscw.com,Dr.Manu Oommen,stmarycw@gmail.com,4023232892,75,Tier1
Bhavans Vivekananda College,Telangana,Hyderabad,Aided,,1600,Large,bhavansvc.ac.in,Dr. G.S.V.R.K. Choudary,bvc@bhavansvc.ac.in,4027667900,75,Tier1
Cmr College Of Engineering,Telangana,Hyderabad,Private,,2800,Large,cmrcet.ac.in,Dr. A Seshu Kumar,principal@cmrcet.ac.in,9248727210,100,Tier1
Vardhaman College Of Engineering,Telangana,Hyderabad,Private,,3100,Large,vardhaman.org,Prof. J. V. R. Ravindra,pricipal@vardhaman.org,9502653333,100,Tier1
Aurora Engineering College,Telangana,Hyderabad,Private,,2200,Large,aec.edu.in,Dr. M. Sreenivasa Reddy,office@aec.edu.in,7036076661,100,Tier1
St. Xavier'S College,Maharashtra,Mumbai,Aided,,3500,Large,xaviers.edu,Prof. Dr. Karuna Gokarn,webadmin@xaviers.edu,2222620661,75,Tier1
Fergusson College,Maharashtra,Pune,Aided,,4200,Large,fergusson.edu,Prof. (Dr.) Shyam Narayan Mude,principal@fergusson.edu,2067656000,75,Tier1
Symbiosis College Of Arts And Commerce,Maharashtra,Pune,Private,,2800,Large,symbiosiscollege.edu.in,Dr. Hrishikesh Soman,contact@symbiosiscollege.edu.in,2025653903,100,Tier1
Elphinstone College,Maharashtra,Mumbai,Govt,,3100,Large,elphinstone.ac.in,Dr. Saumitra Sawant,elphinstone1856@gmail.com,2222049237,75,Tier1
Ruparel College,Maharashtra,Mumbai,Aided,,2900,Large,ruparel.edu,,principal@ruparel.edu,7208258147,65,Tier2
K.J. Somaiya College Of Science,Maharashtra,Mumbai,Private,,3400,Large,kjssc.somaiya.edu,Dr Pradnya Prabhu,avradhakrishnan@somaiya.edu,2267283000,100,Tier1
Coep Technological University,Maharashtra,Pune,Govt,,5600,Large,coeptech.ac.in,Dr. Sanjay Dambhare,coep@coeptech.ac.in,2025507002,75,Tier1
Wadia College,Maharashtra,Pune,Aided,,1600,Large,wadiacollege.edu.in,,director.principal@nowrosjeewadiacollege.edu.in,02026163315,65,Tier2
Govt. Vidharbha Institute Of Science,Maharashtra,Amravati,Govt,,2200,Large,,,,07212662466,40,Tier2
Ict Mumbai (Udct),Maharashtra,Mumbai,Govt,,1800,Large,ictmumbai.edu.in,,vc@ictmumbai.edu.in,02233612222,65,Tier2
Pune University Dept. Of Chemistry,Maharashtra,Pune,Govt,,1200,Medium,unipune.ac.in,,,02025693981,50,Tier2
Vpm'S B N Bandodkar College,Maharashtra,Thane,Aided,,2100,Large,bnbandodkar.edu.in,,,02225446273,50,Tier2
Wilson College,Maharashtra,Mumbai,Aided,,3200,Large,wilsoncollege.edu,,,02222820661,50,Tier2
Hr College Of Commerce,Maharashtra,Mumbai,Aided,,4100,Large,hrcollege.edu,,principalconnect@hrcollege.edu,9326306348,65,Tier2
Mithibai College Of Arts,Maharashtra,Mumbai,Aided,,5200,Large,mithibai.ac.in,,principal@mithibai.ac.in,02226608000,65,Tier2
Kc College,Maharashtra,Mumbai,Aided,,3600,Large,kccollege.edu.in,,office@kccollege.edu.in,02222821022,65,Tier2
Sophia College For Women,Maharashtra,Mumbai,Aided,,2100,Large,sophiacollegemumbai.com,,admin@sophiacollege.edu.in,02222820282,65,Tier2
Ramnarain Ruia College,Maharashtra,Mumbai,Aided,,3100,Large,ruiacollege.edu,,principal@ruiacollege.edu,02269186201,65,Tier2
Vaze Kelkar College,Maharashtra,Mumbai,Aided,,2800,Large,vazekelkarcollege.org,,,02224952882,50,Tier2
Sp College Pune,Maharashtra,Pune,Govt,,4600,Large,spcollege.ac.in,,,02024331978,50,Tier2
Modern College Of Arts Pune,Maharashtra,Pune,Aided,,5100,Large,moderncollegepune.edu.in,,dascommercesf@moderncollegepune.edu.in,2025535468,65,Tier2
Abasaheb Garware College,Maharashtra,Pune,Aided,,3900,Large,agcollege.ac.in,,abasahebgarwarecollege@gmail.com,02025656840,65,Tier2
Brihan Maharashtra College,Maharashtra,Pune,Aided,,2700,Large,bmcc.ac.in,,,2067656200,50,Tier2
Sir Parashurambhau College,Maharashtra,Pune,Aided,,3400,Large,spcollege.ac.in,,addressprincipal@spcollegepune.ac.in,02972296296,65,Tier2
Govt. College Of Engineering Pune,Maharashtra,Pune,Govt,,4800,Large,gcoep.ac.in,,aaglave.saarika@gppune.ac.in,02025507167,65,Tier2
Visvesvaraya Nit Nagpur,Maharashtra,Nagpur,Govt,,5400,Large,vnit.ac.in,,deanacd@vnit.ac.in,07122223230,65,Tier2
Govt. Medical College Nagpur,Maharashtra,Nagpur,Govt,,1800,Large,gmcnagpur.com,,,07122701133,50,Tier2
Hislop College,Maharashtra,Nagpur,Aided,,3200,Large,hislopcollege.ac.in,,info@hislopcollege.ac.in,8275490446,65,Tier2
Dr. Ambedkar College Nagpur,Maharashtra,Nagpur,Aided,,2400,Large,drambedkarcollege.ac.in,,academicsection@dbatu.ac.in,07122726271,65,Tier2
Walchand College Of Engineering,Maharashtra,Sangli,Aided,,3600,Large,walchandsangli.ac.in,,,02332247243,50,Tier2
Shivaji University College,Maharashtra,Kolhapur,Govt,,2800,Large,unishivaji.ac.in,,accountssection@shivaji.du.ac.in,02312609000,65,Tier2
Dy Patil College Of Engineering,Maharashtra,Pune,Private,,3900,Large,dypvp.edu.in,,_jobs@dypcoeakurdi.ac.in,02067106000,90,Tier1
Symbiosis Institute Of Technology,Maharashtra,Pune,Private,,2600,Large,sit.edu.in,,director@sitpune.edu.in,02028116200,90,Tier1
Flame University,Maharashtra,Pune,Private,,1800,Large,flame.edu.in,,enquiry@flame.edu.in,18002094567,90,Tier1
