name,state,district,type,student_count,website,phone
St. Ann's College for Women,Telangana,Hyderabad,Private,1200,https://stanns.edu.in,8888888888
Osmania University College of Science,Telangana,Hyderabad,Govt,5000,https://www.osmania.ac.in,04027682363
Nizam College,Telangana,Hyderabad,Govt,3200,https://nizamcollege.ac.in,04023230935
SR & BGNR Govt. Degree College,Telangana,Karimnagar,Govt,1800,,8888888888
Kakatiya University College,Telangana,Warangal,Govt,4500,https://www.kakatiya.ac.in,08702438866
Aurora's Degree College,Telangana,Hyderabad,Private,900,https://www.auroradegree.ac.in,8792060443
St. Francis College for Women,Telangana,Hyderabad,Aided,1400,https://www.stfranciscollege.ac.in,8888888888
Govt. Degree College for Women,Telangana,Nizamabad,Govt,2100,,8888888888
Vasavi College of Engineering,Telangana,Hyderabad,Aided,3600,https://www.vasavicollege.ac.in,04023146000
JNTU Hyderabad,Telangana,Hyderabad,Govt,8000,https://www.jntuh.ac.in,04023158661
Muffakham Jah College of Engg,Telangana,Hyderabad,Aided,2800,https://www.mjcollege.ac.in,04023312785
Govt. City College,Telangana,Hyderabad,Govt,2400,,8888888888
Hyderabad Public School,Telangana,Hyderabad,Private,1800,https://www.hps.edu.in,
Narayana Junior College,Telangana,Hyderabad,Private,3200,https://www.narayanagroup.com,
Sri Chaitanya Junior College,Telangana,Hyderabad,Private,4500,https://www.srichaitanya.net,
Osmania Medical College,Telangana,Hyderabad,Govt,2800,https://osmaniamedicalcollege.org,04027682211
Deccan College of Medical Sciences,Telangana,Hyderabad,Private,1200,https://dcmshyderabad.webnode.in,
Hyderabad Institute of Technology,Telangana,Hyderabad,Private,2600,https://www.hitam.org,9980830836
Chaitanya Bharathi Institute,Telangana,Hyderabad,Aided,3100,https://www.cbit.ac.in,04024193276
Gokaraju Rangaraju Inst of Engg,Telangana,Hyderabad,Private,3400,https://www.griet.ac.in,04023044444
KG Reddy College of Engineering,Telangana,Hyderabad,Private,2100,https://www.kgr.ac.in,04023044551
Mahatma Gandhi Institute of Technology,Telangana,Hyderabad,Private,2800,https://www.mgit.ac.in,8050986576
Sreenidhi Institute of Science,Telangana,Hyderabad,Private,3200,https://www.sreenidhi.edu.in,04027165554
Govt. Degree College Nizamabad,Telangana,Nizamabad,Govt,1600,,8888888888
Govt. Degree College Karimnagar,Telangana,Karimnagar,Govt,1400,,8888888888
