name,principal_name,email,website
St. Ann's College for Women,"Anuradha Udumudi Dr, GeneTech CH, Golconda Hotels Mini Jacob, Nisha Joseph Principal Asst, Ranjith Kumar, Wendy Fleming In, en as they embarked, iven initiatives to enhance, of St Ann",office@stannesfgcmillerroad.edu.in,https://stanns.edu.in
Osmania University College of Science,Kumar Molugaram,"principal.ucs@osmania.ac.in, vc@osmania.ac.in",https://www.osmania.ac.in
Nizam College,"Arati Jadhav, ESSAL CELL GREEN BELT, as for, essor of Commerce Vice, ile Established in","placements@nizamcollege.ac.in, principal@nizamcollege.ac.in",https://nizamcollege.ac.in
SR & BGNR Govt. Degree College,"Anju Atmaram Bhagat Mahatma, Bhausaheb Gurubasu Kore Adarsh, Dasari Madhulatha Andhra Loyola, Padmalochan Rout, Shivagaje Ashok Jagannath Agriculture, as Chennai, asekhara Reddy Sr Govt, ess Name of the","prl-gdc-arpt-ce@telangana.gov.in, prl-gdc-bcm-ce@telangana.gov.in, prl-gdc-blmp-ce@telangana.gov.in, prl-gdc-kmm-ce@telangana.gov.in, prl-gdc-ktdm-ce@telangana.gov.in, prl-gdc-mngr-ce@telangana.gov.in, prl-gdc-plvc-ce@telangana.gov.in, prl-gdc-spl-ce@telangana.gov.in, prl-gdc-yld-ce@telangana.gov.in",nan
Kakatiya University College,"ASM Degree, Bheemarthi Sukumari, Boddyreddy Rama, Mallam Naveen, essor of Economics, ika Memorial","principal.education@kakatiya.ac.in, principal.kucet@kakatiya.ac.in, principal.law@kakatiya.ac.in, principal.uasc@kakatiya.ac.in, principal.uc@kakatiya.ac.in, principal.uccbm@kakatiya.ac.in, principal.ucpe@kakatiya.ac.in, principal.ucpsc@kakatiya.ac.in, principal.upcsw@kakatiya.ac.in, principal.upgcb@kakatiya.ac.in, principal.upgcj@kakatiya.ac.in, principal.upgckmm@kakatiya.ac.in, principal.upgcktm@kakatiya.ac.in, principal.upgcm@kakatiya.ac.in, principal.upgcnrml@kakatiya.ac.in, principal.upgcw@kakatiya.ac.in, principalucetw@kakatiya.ac.in, vc@kakatiya.ac.in, webmaster@kakatiya.ac.in",https://www.kakatiya.ac.in
Aurora's Degree College,"About Auroar, Governing Council AICTE, SHILPI DEWANGAN Bhilai ssec, Swarnim Ghosh VARANASI swarnimghosh, ess Code, essional and ethical practices, essional and support staff, essional materials, is responsible for the, ive lV","2021060@slhschool.ac.in, adcadmin@adc.edu.in, admin@adc.edu.in, adupaveena_pg@adc.edu.in, ao@adc.edu.in, examination@adc.edu.in, info@adc.edu.in, nss@adc.edu.in, rahulg@adc.edu.in, suvarnalakshmic@adc.edu.in, yakshitha_pg@adc.edu.in",https://www.auroradegree.ac.in
St. Francis College for Women,"Anitha Thomas Asst, Archana Dinesh, Energy Tech Global, Higher Education, Name of Principal, Phone Number with STD, Uma Joseph Principal, ess of the Institution, ess of the Organization, essional Ethics, essional Programming, essional Studies, essor Dept",info@sfc.ac.in,https://www.stfranciscollege.ac.in
Govt. Degree College for Women,"Hafizullaha Sheikh Dr, Nighat Parveen Prof, Pinu Andarabi, Zuhaib Bazaz, Zuhaib Bazaz View My, of Govt","examination@gcwnk.ac.in, principal@gcwnk.ac.in",nan
Vasavi College of Engineering,"Chemistry Dept, Civil Engineering Dept, Jacqueline Amaral, Mathematics Dept, Mechanical Engg, Physics Dept","hodchemistry@staff.vce.ac.in, hodcivil@staff.vce.ac.in, hodcse@staff.vce.ac.in, hodece@staff.vce.ac.in, hodeee@staff.vce.ac.in, hodhss@staff.vce.ac.in, hodit@staff.vce.ac.in, hodmaths@staff.vce.ac.in, hodmec@staff.vce.ac.in, hodphy@staff.vce.ac.in, library@staff.vce.ac.in, principal@staff.vce.ac.in",https://www.vasavicollege.ac.in
JNTU Hyderabad,"Academic and Planning, Balaram Naik Amgothu, Investigator of seven research, Krishna Mohan Rao, Rao embodies the spirit, Rao is the convenor, essor and an Associate, essor in Computer Science, essor in ECE Assistant, essor in Mechanical Engg, essor of Computer Science, essor of Mechanical Engineering, essor of Nanotechnology and, essor of Nanotechnology at, essor oinMechanical Engg, exel Univ","_sunitha@jntuh.ac.in, baddam_sunitha@ntuh.ac.in, complaint.ceh@jntuh.ac.in, dejntuh@jntuh.ac.in, dr.tvgopal@jntuh.ac.in, enviousraju@jntuh.ac.in, info.ceh@jntuh.ac.in, jntuhcer@jntuh.ac.in, mailvishnu@jntuh.ac.in, narsimha06@jntuh.ac.in, pa2rector@jntuh.ac.in, pa2registrar@jntuh.ac.in, principal-jntuhucew@jntuh.ac.in, principal.ucesthjntuh@jntuh.ac.in, principalcer@jntuh.ac.in, smsdir@jntuh.ac.in, sridharch@jntuh.ac.in, ucemb@jntuh.ac.in, ucepl@jntuh.ac.in, vcjntu@jntuh.ac.in",https://www.jntuh.ac.in
