"name","phone","district","state"
"St. Ann's College for Women","040-27667849","Hyderabad","Telangana"
"Osmania University College of Science","040-27682363","Hyderabad","Telangana"
"Nizam College","8331997325","Hyderabad","Telangana"
"SR & BGNR Govt. Degree College","0878-2230540","Karimnagar","Telangana"
"Kakatiya University College","0870-2438866","Warangal","Telangana"
"Aurora's Degree College","040-27660755","Hyderabad","Telangana"
"St. Francis College for Women","040-23564955","Hyderabad","Telangana"
"Govt. Degree College for Women","08462-222571","Nizamabad","Telangana"
"Vasavi College of Engineering","040-23146001","Hyderabad","Telangana"
"JNTU Hyderabad","040-23156113","Hyderabad","Telangana"
"Muffakham Jah College of Engg","023-280301","Hyderabad","Telangana"
"Govt. City College","040-24604045","Hyderabad","Telangana"
"Hyderabad Public School","040-23234251","Hyderabad","Telangana"
"Narayana Junior College","18001023344","Hyderabad","Telangana"
"Sri Chaitanya Junior College","040-66060606","Hyderabad","Telangana"
"Osmania Medical College","040-27682363","Hyderabad","Telangana"
"Deccan College of Medical Sciences","040-23310656","Hyderabad","Telangana"
"Hyderabad Institute of Technology","9052223769","Hyderabad","Telangana"
"Chaitanya Bharathi Institute","9849466587","Hyderabad","Telangana"
"Gokaraju Rangaraju Inst of Engg","040-23044901","Hyderabad","Telangana"
"KG Reddy College of Engineering","9000633008","Hyderabad","Telangana"
"Mahatma Gandhi Institute of Technology","040-23044914","Hyderabad","Telangana"
"Sreenidhi Institute of Science","040-27165554","Hyderabad","Telangana"
"Govt. Degree College Nizamabad","08462-220423","Nizamabad","Telangana"
"Govt. Degree College Karimnagar","0878-2221034","Karimnagar","Telangana"
"Satavahana University College","0878-2226583","Karimnagar","Telangana"
"Kakatiya Medical College","0870-2439033","Warangal","Telangana"
"Warangal Institute of Technology","0870-2471200","Warangal","Telangana"
"Govt. Degree College Mahbubnagar","08542-224122","Mahbubnagar","Telangana"
"Palamuru University College","0854-2277144","Mahbubnagar","Telangana"
"Govt. Degree College Khammam","08742-222417","Khammam","Telangana"
"Telangana University College","08462-221501","Nizamabad","Telangana"
"Lords Institute of Engineering","6309012442","Hyderabad","Telangana"
"CVR College of Engineering","040-41525300","Hyderabad","Telangana"
"TKR College of Engineering","9849477550","Hyderabad","Telangana"
"Govt. Degree College Adilabad","08732-225455","Adilabad","Telangana"
"Osmania University Law College","040-27682363","Hyderabad","Telangana"
"St. Mary's College for Women","040-23232892","Hyderabad","Telangana"
"Bhavans Vivekananda College","040-27667900","Hyderabad","Telangana"
"CMR College of Engineering","002-0569204672084","Hyderabad","Telangana"
"Vardhaman College of Engineering","8688901557","Hyderabad","Telangana"
"Aurora Engineering College","7036076661","Hyderabad","Telangana"
"St. Xavier's College","022-22620661","Mumbai","Maharashtra"
"Fergusson College","0206-7656000","Pune","Maharashtra"
"Symbiosis College of Arts and Commerce","0202-5653903","Pune","Maharashtra"
"Elphinstone College","022-22049237","Mumbai","Maharashtra"
"Ruparel College","022-24305799","Mumbai","Maharashtra"
"K.J. Somaiya College of Science","022-67283000","Mumbai","Maharashtra"
"COEP Technological University","020-25507002","Pune","Maharashtra"
"Wadia College","020-26143928","Pune","Maharashtra"
"Govt. Vidharbha Institute of Science","0721-2662466","Amravati","Maharashtra"
"ICT Mumbai (UDCT)","022-33612222","Mumbai","Maharashtra"
"Pune University Dept. of Chemistry","020-25601099","Pune","Maharashtra"
"VPM's B N Bandodkar College","022-25394019","Thane","Maharashtra"
"Wilson College","022-23663001","Mumbai","Maharashtra"
"HR College of Commerce","9326306348","Mumbai","Maharashtra"
"Mithibai College of Arts","022-26608000","Mumbai","Maharashtra"
"KC College","9156094565","Mumbai","Maharashtra"
"Sophia College for Women","022-22820823","Mumbai","Maharashtra"
"Ramnarain Ruia College","022-69186201","Mumbai","Maharashtra"
"Vaze Kelkar College","022-24952882","Mumbai","Maharashtra"
"SP College Pune","0297-2296296","Pune","Maharashtra"
"Modern College of Arts Pune","2025535468","Pune","Maharashtra"
"Abasaheb Garware College","020-25656840","Pune","Maharashtra"
"Brihan Maharashtra College","2067656200","Pune","Maharashtra"
"Sir Parashurambhau College","0297-2296296","Pune","Maharashtra"
"Govt. College of Engineering Pune","020-25507167","Pune","Maharashtra"
"Visvesvaraya NIT Nagpur","0712-2223230","Nagpur","Maharashtra"
"Govt. Medical College Nagpur","0712-2701133","Nagpur","Maharashtra"
"Hislop College","8275490446","Nagpur","Maharashtra"
"Dr. Ambedkar College Nagpur","0712-2726271","Nagpur","Maharashtra"
"Walchand College of Engineering","0233-2247243","Sangli","Maharashtra"
"Shivaji University College","0231-2609000","Kolhapur","Maharashtra"
"DY Patil College of Engineering","020-67106000","Pune","Maharashtra"
"Symbiosis Institute of Technology","020-28116200","Pune","Maharashtra"
"FLAME University","18002094567","Pune","Maharashtra"
"MIT College of Engineering Pune","020-30273400","Pune","Maharashtra"
"Bharati Vidyapeeth College of Engg","022-25139610","Mumbai","Maharashtra"
"Somaiya Vidyavihar University","022-26728301","Mumbai","Maharashtra"
"NMIMS University Mumbai","080-40855555","Mumbai","Maharashtra"
"Kishinchand Chellaram College","9156094565","Mumbai","Maharashtra"
"Nowrosjee Wadia College","020-26143928","Pune","Maharashtra"
"Dharampeth College Nagpur","0712-2557300","Nagpur","Maharashtra"
"Vidyanagari Arts Commerce College","022-2708700","Mumbai","Maharashtra"
"Christ University","080-40129100","Bengaluru","Karnataka"
"Bangalore University College","080-22961100","Bengaluru","Karnataka"
"Mount Carmel College","080-22261157","Bengaluru","Karnataka"
"St. Joseph's College of Commerce","080-22212010","Bengaluru","Karnataka"
"RV College of Engineering","080-67178001","Bengaluru","Karnataka"
"Mysore University Constituent College","0821-2419901","Mysuru","Karnataka"
"Manipal College of Arts","0820-2922073","Udupi","Karnataka"
"Govt. First Grade College Gulbarga","08472-263234","Kalaburagi","Karnataka"
"BMS College of Engineering","080-26622130","Bengaluru","Karnataka"
"Govt. Science College Bengaluru","080-22281723","Bengaluru","Karnataka"
"Jyoti Nivas College","080-25501444","Bengaluru","Karnataka"
"Indian Institute of Science","080-22932004","Bengaluru","Karnataka"
"National Law School of India","080-23010000","Bengaluru","Karnataka"
"St. Joseph's College Bengaluru","080-25506424","Bengaluru","Karnataka"
"Bishop Cotton Women's College","080-25201908","Bengaluru","Karnataka"
"PES University","9901812003","Bengaluru","Karnataka"
"Ramaiah Institute of Technology","080-23607902","Bengaluru","Karnataka"
"Dayananda Sagar College","9916075170","Bengaluru","Karnataka"
"New Horizon College of Engineering","9880534935","Bengaluru","Karnataka"
"REVA University","8046966966","Bengaluru","Karnataka"
"Alliance University","8046199000","Bengaluru","Karnataka"
"Govt. Science College Hassan","08172-268015","Hassan","Karnataka"
"Visvesvaraya Technological Univ","0831-2498100","Belagavi","Karnataka"
"KLE Technological University","0836-2378103","Belagavi","Karnataka"
"SDM College of Engineering","0836-2255619","Dharwad","Karnataka"
"BVB College of Engineering","0831-2408022","Belagavi","Karnataka"
"JSS College of Arts","0821-2548337","Mysuru","Karnataka"
"Maharaja College Mysore","0821-2523720","Mysuru","Karnataka"
"Yuvaraja College Mysore","0821-2548337","Mysuru","Karnataka"
"Mangalore University College","9481608909","Mangaluru","Karnataka"
"St. Aloysius College Mangalore","0824-4117704","Mangaluru","Karnataka"
"Canara College","0824-2496600","Mangaluru","Karnataka"
"Govt. First Grade College Tumkur","0816-2272004","Tumakuru","Karnataka"
"Siddaganga Institute of Technology","8162282696","Tumakuru","Karnataka"
"NMKRV College for Women","080-26761221","Bengaluru","Karnataka"
"Seshadripuram College","080-23449234","Bengaluru","Karnataka"
"CMR Institute of Technology","080-28524855","Bengaluru","Karnataka"
"Global Academy of Technology","080-28603158","Bengaluru","Karnataka"
"Nitte University College","9108242204300","Mangaluru","Karnataka"
"East West College of Engineering","080-28478400","Bengaluru","Karnataka"
"Christ Academy Institute","080-46839900","Bengaluru","Karnataka"
"Miranda House","011-27667437","Delhi","Delhi"
"St. Stephen's College","011-27667271","Delhi","Delhi"
"Lady Shri Ram College for Women","7827170170","Delhi","Delhi"
"Kirori Mal College","011-27667861","Delhi","Delhi"
"Hindu College","011-27667184","Delhi","Delhi"
"Hansraj College","1127667747","Delhi","Delhi"
"Ramjas College","011-27662157","Delhi","Delhi"
"Indraprastha College for Women","011-47008184","Delhi","Delhi"
"Gargi College","011-26497697","Delhi","Delhi"
"Jesus and Mary College","011-26104765","Delhi","Delhi"
"Dyal Singh College","011-24367819","Delhi","Delhi"
"Daulat Ram College","9821382457","Delhi","Delhi"
"Sri Venkateswara College","011-24115302","Delhi","Delhi"
"Atma Ram Sanatan Dharma College","011-24607600","Delhi","Delhi"
"Motilal Nehru College","011-26115244","Delhi","Delhi"
"Shyam Lal College","011-22326591","Delhi","Delhi"
"Janki Devi Memorial College","011-25452272","Delhi","Delhi"
"Maitreyi College","011-26114555","Delhi","Delhi"
"Maharaja Agrasen College","011-22610563","Delhi","Delhi"
"Acharya Narendra Dev College","9839167801","Delhi","Delhi"
"Shaheed Bhagat Singh College","011-24604001","Delhi","Delhi"
"Keshav Mahavidyalaya","011-27663924","Delhi","Delhi"
"Sri Aurobindo College","1140536164","Delhi","Delhi"
"Bhim Rao Ambedkar College","011-22385823","Delhi","Delhi"
"Kalindi College","011-26493388","Delhi","Delhi"
"Lakshmibai College","011-25093441","Delhi","Delhi"
"Delhi College of Arts and Commerce","011-27158007","Delhi","Delhi"
"Jamia Millia Islamia","011-26981717","Delhi","Delhi"
"Jawaharlal Nehru University","011-26742676","Delhi","Delhi"
"Delhi Technological University","011-27871018","Delhi","Delhi"
"Indraprastha Institute of IT","1126907405","Delhi","Delhi"
"Amity University Delhi","0120-4392000","Delhi","Delhi"
"Guru Gobind Singh Indraprastha Uni","011-25302140","Delhi","Delhi"
"Lady Irwin College","20911123711222","Delhi","Delhi"
"College of Vocational Studies","011-26160531","Delhi","Delhi"
"Zakir Husain Delhi College","011-23239212","Delhi","Delhi"
"Satyawati College","8368897504","Delhi","Delhi"
"Vivekananda College","011-27583226","Delhi","Delhi"
"Shivaji College Delhi","011-25101010","Delhi","Delhi"
"Loyola College","044-28178200","Chennai","Tamil Nadu"
"Presidency College","044-28512454","Chennai","Tamil Nadu"
"Stella Maris College","044-28275567","Chennai","Tamil Nadu"
"PSG College of Arts and Science","0422-4391100","Coimbatore","Tamil Nadu"
"Govt. Arts College","0422-2303890","Coimbatore","Tamil Nadu"
"Madras Christian College","9444403976","Chennai","Tamil Nadu"
"Vellore Institute of Technology","000-0000020","Vellore","Tamil Nadu"
"Annamalai University Constituent Coll","0414-4238259","Cuddalore","Tamil Nadu"
